,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
44,S100A4,15.116634,0.29753497,1.2581035266541703e-51,8.030448042473427e-50,0.963701546045261,0.9467226348078785
114,SEC61B,7.4971538,0.28489032,6.521854584089174e-14,1.6441650211989512e-12,0.46134886847412054,0.3990151759767517
237,SEC11C,3.696925,0.2804708,0.00021822679374740504,0.002650527859280223,0.2159982074837553,0.18376654827252178
229,C4orf48,3.7930539,0.27934408,0.0001488058740884335,0.00186785616010586,0.21129285234147435,0.17734904746528898
222,UQCR11-1,3.904853,0.27187848,9.428259233440252e-05,0.0012191714526000326,0.23840466054223616,0.20420971908298352
193,C10orf54,4.7025275,0.2703179,2.569605736257121e-06,3.8162461429561205e-05,0.27268653372171187,0.23046496609622216
36,MT-CO1,17.691133,0.2685545,4.907809016854023e-70,3.874586065937387e-68,1.0,0.9973563125605425
81,CD37,9.587521,0.26404205,9.022670782554142e-22,3.184472040901462e-20,0.6583015908581672,0.592912495963836
234,GPX1,3.7408516,0.26312467,0.00018339783616615332,0.002254891428272377,0.22294420793188438,0.18969970939618985
86,SSR4,9.054834,0.2576786,1.3677464051904864e-19,4.559154683968288e-18,0.6412726865337217,0.576263319341298
101,NEAT1,8.193385,0.25203553,2.539790978233928e-16,7.188087674246966e-15,0.6497871386959444,0.5963230545689376
206,S100A9,4.216843,0.24435669,2.4774601161997966e-05,0.0003440916828055273,0.3004705355142281,0.2657612205360026
164,AC092580.4,5.786192,0.24168418,7.199992889076128e-09,1.2631566472063382e-07,0.4196728657853462,0.3720536002583145
105,ID2,7.981632,0.23941414,1.444109385078381e-15,3.9384801411228575e-14,0.6112480394353574,0.549765902486277
197,CAST,4.5662284,0.23439802,4.9657718353073675e-06,7.231706556272865e-05,0.3195160206139368,0.28019050694220216
247,S100A8,3.428649,0.23435675,0.0006065935138577725,0.0070534129518345645,0.23750840241989693,0.20737810784630287
215,AHNAK,4.10605,0.23110624,4.02482049682538e-05,0.0005366427329100507,0.3067443423706027,0.27256215692605745
226,XIST,3.83723,0.22718203,0.00012442994182649395,0.0015817365486418722,0.2946448577190231,0.2626735550532774
178,IRF1,5.265137,0.22399855,1.4008479039893998e-07,2.27164524971254e-06,0.4169840914183285,0.3761503067484663
